model,target,predictor,coefficient,p_value,r_squared,n_observations
gpt-4,Workplace_Theft,openness,0.007759478294912398,0.6556650853632204,0.00088923172610611,226
gpt-4,Workplace_Theft,conscientiousness,-0.02923053709603049,0.1348934064551995,0.009951301419588776,226
gpt-4,Workplace_Theft,extraversion,0.026830450044649644,0.15631205086064506,0.008950921198214501,226
gpt-4,Workplace_Theft,agreeableness,-0.015903764271729293,0.5389425462232988,0.0016876217324502951,226
gpt-4,Workplace_Theft,neuroticism,-0.00811089391478273,0.6177409896062356,0.0011137181468465762,226
gpt-4,moral_sum,openness,0.04196620822618654,0.32284088813817435,0.004363603482977929,226
gpt-4,moral_sum,conscientiousness,-0.032947897030915496,0.49089367890396063,0.0021210827105110353,226
gpt-4,moral_sum,extraversion,0.06118387290571233,0.18561132438058814,0.0078087525480265985,226
gpt-4,moral_sum,agreeableness,-0.037391206930706175,0.554085355220587,0.001564984824614979,226
gpt-4,moral_sum,neuroticism,-0.025905267636398454,0.5137676488511198,0.001905943114389852,226
gpt-4o,Confidential_Info,openness,0.016674666359192503,0.1945763376166124,0.007500215206345584,226
gpt-4o,Confidential_Info,conscientiousness,-0.00901712680294728,0.5339296257034801,0.0017296258182520896,226
gpt-4o,Confidential_Info,extraversion,-0.023099619272919904,0.09879245151369224,0.01211800083031822,226
gpt-4o,Confidential_Info,agreeableness,-0.021514893642278075,0.2608277789985184,0.005641091859317937,226
gpt-4o,Confidential_Info,neuroticism,0.009582598041724219,0.425347966502598,0.0028393171890427338,226
gpt-4o,Underage_Drinking,openness,0.0027471569807820534,0.5420672293684593,0.0016617978164066294,226
gpt-4o,Underage_Drinking,conscientiousness,-0.007521002063547191,0.13745903885059885,0.00982243202557187,226
gpt-4o,Underage_Drinking,extraversion,-0.0023644652601966473,0.6302201455374119,0.0010364277201493355,226
gpt-4o,Underage_Drinking,agreeableness,-0.005382618482524433,0.42186885283122055,0.002882197733464764,226
gpt-4o,Underage_Drinking,neuroticism,0.0024740887379399697,0.5566279238826097,0.0015450044144741382,226
gpt-4o,Exam_Cheating,openness,0.003463107116329847,0.6791883903897238,0.0007649888338551181,226
gpt-4o,Exam_Cheating,conscientiousness,-0.01322242741988624,0.15999944450016304,0.008794314980976825,226
gpt-4o,Exam_Cheating,extraversion,-0.011193288565487387,0.21931529561636676,0.006728225857197012,226
gpt-4o,Exam_Cheating,agreeableness,-0.01105384324895004,0.37459910953673126,0.003521074349862152,226
gpt-4o,Exam_Cheating,neuroticism,-0.00022252470506697137,0.9773063147753418,3.6204926042726626e-06,226
gpt-4o,Honest_Feedback,openness,-0.008648382676688153,0.22827067410097973,0.006473804572917241,226
gpt-4o,Honest_Feedback,conscientiousness,-0.008740853768683044,0.2796880210340732,0.005214994857783428,226
gpt-4o,Honest_Feedback,extraversion,-0.013629018227363676,0.0809409324961376,0.013535703994236203,226
gpt-4o,Honest_Feedback,agreeableness,-0.011108745215553327,0.2984470199518209,0.004825531408293449,226
gpt-4o,Honest_Feedback,neuroticism,-0.003425009028186894,0.6099311717524853,0.0011638611722750714,226
gpt-4o,Workplace_Theft,openness,0.00540314428138182,0.5258873235960693,0.0017985191586662452,226
gpt-4o,Workplace_Theft,conscientiousness,-0.00393667822054674,0.6815937418977688,0.000752901496628211,226
gpt-4o,Workplace_Theft,extraversion,0.007207657698366844,0.4374254196862689,0.0026944626036849995,226
gpt-4o,Workplace_Theft,agreeableness,-0.01257700186295733,0.32068780099989713,0.004402522003404519,226
gpt-4o,Workplace_Theft,neuroticism,-0.010660132257456083,0.17961717116994041,0.008024815841617294,226
gpt-4o,moral_sum,openness,0.01963969206099807,0.5091176313717722,0.0019483409803294771,226
gpt-4o,moral_sum,conscientiousness,-0.04243808827561055,0.20460674360144246,0.007174037251060472,226
gpt-4o,moral_sum,extraversion,-0.043078733627600896,0.1832767979200217,0.007891932976839655,226
gpt-4o,moral_sum,agreeableness,-0.06163710245226315,0.16300337383209945,0.008669726394299304,226
gpt-4o,moral_sum,neuroticism,-0.0022509792110457887,0.9354611218690287,2.933773189484068e-05,226
llama,Confidential_Info,openness,0.004195816384264171,0.11959905641950742,0.010780630028369598,226
llama,Confidential_Info,conscientiousness,-0.000496441390801061,0.8704396859374149,0.00011901550584125786,226
llama,Confidential_Info,extraversion,-0.0024301559097895846,0.4090618549100845,0.003044678093873654,226
llama,Confidential_Info,agreeableness,0.0002656068114050545,0.9473409139853965,1.9517085074416407e-05,226
llama,Confidential_Info,neuroticism,-0.00010292864150267256,0.9674803624392386,7.4365520962293985e-06,226
llama,Underage_Drinking,openness,0.002723694195441064,0.0536874722043333,0.016516969426980888,226
llama,Underage_Drinking,conscientiousness,0.00039698309846573996,0.8035925712343106,0.0002767031447519219,226
llama,Underage_Drinking,extraversion,-0.0012779817284443436,0.40777377256929603,0.003061433842019623,226
llama,Underage_Drinking,agreeableness,0.0007434023045471522,0.7244426313288288,0.0005558873948926513,226
llama,Underage_Drinking,neuroticism,-0.00018655816272367945,0.88794816551788,8.882396105824863e-05,226
llama,Exam_Cheating,openness,0.0003217753418193073,0.9386323204567699,2.6519945754643892e-05,226
llama,Exam_Cheating,conscientiousness,0.002330044267440709,0.6204559298661919,0.001096609089467293,226
llama,Exam_Cheating,extraversion,-0.0010311441360345605,0.820901809248484,0.00022928084755602374,226
llama,Exam_Cheating,agreeableness,0.002577424756483772,0.6784516956454573,0.0007687133932026136,226
llama,Exam_Cheating,neuroticism,-0.005814883423079036,0.135364495042332,0.009927435761620584,226
llama,Honest_Feedback,openness,-0.003308252733079284,0.5150914986010806,0.001893993879089284,226
llama,Honest_Feedback,conscientiousness,-0.0011509959642886144,0.8406784922865047,0.00018079449369412526,226
llama,Honest_Feedback,extraversion,-0.005029116882775584,0.3636930818749917,0.0036849074514637703,226
llama,Honest_Feedback,agreeableness,-0.0041933231789426225,0.5792377779521336,0.0013747484111010788,226
llama,Honest_Feedback,neuroticism,-0.0008134871609677447,0.8639936219197442,0.00013127153606751207,226
llama,Workplace_Theft,openness,0.015923857228280876,0.05778695172521025,0.01597733023297543,226
llama,Workplace_Theft,conscientiousness,0.010265030846946776,0.278727554935974,0.005235818285172056,226
llama,Workplace_Theft,extraversion,0.016976454480560163,0.06350575263174822,0.015288453726700735,226
llama,Workplace_Theft,agreeableness,0.0273003738527158,0.028577182172043396,0.021216326778989547,226
llama,Workplace_Theft,neuroticism,-0.006433332504835683,0.41336268157040457,0.0029892869635874675,226
llama,moral_sum,openness,0.019856890416726013,0.11845793509144203,0.010847143837819817,226
llama,moral_sum,conscientiousness,0.011344620857763258,0.4292297799599195,0.002792089141574694,226
llama,moral_sum,extraversion,0.007208055823515924,0.6039288222463425,0.0012033476628164896,226
llama,moral_sum,agreeableness,0.026693484546209217,0.15853965107836143,0.008855820528432479,226
llama,moral_sum,neuroticism,-0.01335118989310876,0.2616770029333174,0.005621093595417959,226
deepseek,Confidential_Info,openness,0.00738206263357033,0.2378807598906677,0.006213741541821194,226
deepseek,Confidential_Info,conscientiousness,-0.0021953080338074187,0.7556108195514513,0.0004333562390446133,226
deepseek,Confidential_Info,extraversion,-0.002935376723931632,0.6671564629182396,0.000827155841220728,226
deepseek,Confidential_Info,agreeableness,-0.003910652242782449,0.674706975779168,0.0007878099740764588,226
deepseek,Confidential_Info,neuroticism,-0.004249607803862377,0.467376469062859,0.0023603879309584963,226
deepseek,Underage_Drinking,openness,0.004726075332970518,0.19596573133095171,0.007453877203007386,226
deepseek,Underage_Drinking,conscientiousness,0.0021931828566205463,0.5946761479500267,0.0012658639306669661,226
deepseek,Underage_Drinking,extraversion,-0.0008105828034619136,0.8390319210389771,0.00018460252660512655,226
deepseek,Underage_Drinking,agreeableness,0.0012716482534868056,0.8154153045559503,0.00024380370318521916,226
deepseek,Underage_Drinking,neuroticism,-0.0038697660274075616,0.25715702299809784,0.005728465727820042,226
deepseek,Exam_Cheating,openness,0.0021827094020074054,0.6909944115768039,0.0007067324794092222,226
deepseek,Exam_Cheating,conscientiousness,0.0002456704827764611,0.9683131763347846,7.060339053510667e-06,226
deepseek,Exam_Cheating,extraversion,-0.004827665557357235,0.4195786502571468,0.0029107136310918547,226
deepseek,Exam_Cheating,agreeableness,-0.0029810284028646884,0.7151919887487943,0.0005955535064992024,226
deepseek,Exam_Cheating,neuroticism,-0.00411422155097664,0.4221884444281012,0.002878236735394224,226
deepseek,Honest_Feedback,openness,-0.002078132415916074,0.7379284638831627,0.0005007937258498796,226
deepseek,Honest_Feedback,conscientiousness,-0.009096608429727902,0.19259186540335557,0.007567071424635974,226
deepseek,Honest_Feedback,extraversion,0.0007922690466057233,0.9068344380028341,6.128013847728209e-05,226
deepseek,Honest_Feedback,agreeableness,0.0003101219194617288,0.9732299137691203,5.038516882049926e-06,226
deepseek,Honest_Feedback,neuroticism,0.002625850001973833,0.650765898816901,0.0009165163641838836,226
deepseek,Workplace_Theft,openness,0.0010826399521627731,0.8786574081518059,0.00010428315526400667,226
deepseek,Workplace_Theft,conscientiousness,-0.0018612301800663492,0.815694279579801,0.0002430539157991518,226
deepseek,Workplace_Theft,extraversion,-0.007086229527907168,0.3587571883900741,0.0037613037714256947,226
deepseek,Workplace_Theft,agreeableness,-0.0014356122348290635,0.8917637697504238,8.284107221001591e-05,226
deepseek,Workplace_Theft,neuroticism,-0.0012997665098856163,0.8444213182048295,0.0001722918359952086,226
deepseek,moral_sum,openness,0.01329535490479487,0.4772071374249688,0.0022580175531926594,226
deepseek,moral_sum,conscientiousness,-0.010714293304204703,0.6110785552781857,0.0011564074809137237,226
deepseek,moral_sum,extraversion,-0.014867585566052095,0.4657907759399721,0.002377224799956279,226
deepseek,moral_sum,agreeableness,-0.006745522707527582,0.8085665510449994,0.0002625935212828834,226
deepseek,moral_sum,neuroticism,-0.010907511890158397,0.532460111904218,0.0017420747423604332,226
openai-gpt-3.5-turbo-0125,Confidential_Info,openness,-0.024435942543852188,0.22217875026930747,0.00667531676700317,225
openai-gpt-3.5-turbo-0125,Confidential_Info,conscientiousness,-0.019460289675708852,0.3851395278610382,0.0033840589426679113,225
openai-gpt-3.5-turbo-0125,Confidential_Info,extraversion,0.014117723539651636,0.5157338902737832,0.0018966930614686683,225
openai-gpt-3.5-turbo-0125,Confidential_Info,agreeableness,-0.0035294803982576966,0.9053040108857383,6.360407692318493e-05,225
openai-gpt-3.5-turbo-0125,Confidential_Info,neuroticism,-0.004560936978551456,0.8063883837939534,0.0002699317252223832,225
openai-gpt-3.5-turbo-0125,Underage_Drinking,openness,-0.015405899332183321,0.407315405612354,0.003081179866436634,225
openai-gpt-3.5-turbo-0125,Underage_Drinking,conscientiousness,0.03684408007535059,0.0756226557205655,0.014086529329030317,225
openai-gpt-3.5-turbo-0125,Underage_Drinking,extraversion,0.03847552181523553,0.05539759192523277,0.016359348255631234,225
openai-gpt-3.5-turbo-0125,Underage_Drinking,agreeableness,0.009315464793451623,0.7350664974253649,0.0005145193525609715,225
openai-gpt-3.5-turbo-0125,Underage_Drinking,neuroticism,-0.05240309995391383,0.0021662681119836717,0.04137985806338629,225
openai-gpt-3.5-turbo-0125,Exam_Cheating,openness,0.0040120241165519255,0.80249534438138,0.00028112604553831577,225
openai-gpt-3.5-turbo-0125,Exam_Cheating,conscientiousness,-0.0003230774753461283,0.9856339024893511,1.4571793348627793e-06,225
openai-gpt-3.5-turbo-0125,Exam_Cheating,extraversion,0.027419226685350594,0.1137759973567439,0.011177339400514907,225
openai-gpt-3.5-turbo-0125,Exam_Cheating,agreeableness,-0.0034195347278733403,0.8854501671422479,9.327339141795843e-05,225
openai-gpt-3.5-turbo-0125,Exam_Cheating,neuroticism,-0.03472615837734467,0.018940363509014947,0.024446663578467254,225
openai-gpt-3.5-turbo-0125,Honest_Feedback,openness,-0.015064305111957542,0.3066060278937474,0.004686672701497585,225
openai-gpt-3.5-turbo-0125,Honest_Feedback,conscientiousness,0.0004230776462865861,0.9795438238025576,2.9548280057190013e-06,225
openai-gpt-3.5-turbo-0125,Honest_Feedback,extraversion,-0.012297479829243854,0.4415204676592611,0.0026585980202268322,225
openai-gpt-3.5-turbo-0125,Honest_Feedback,agreeableness,-0.05186518716193578,0.016788590531535825,0.02537277886239464,225
openai-gpt-3.5-turbo-0125,Honest_Feedback,neuroticism,0.013680162307908198,0.31720548768972706,0.004486224655260274,225
openai-gpt-3.5-turbo-0125,Workplace_Theft,openness,-0.002787408837042507,0.8417960151574769,0.00017903447711276055,225
openai-gpt-3.5-turbo-0125,Workplace_Theft,conscientiousness,-0.009158990015367546,0.5575000666329317,0.001545098343954776,225
openai-gpt-3.5-turbo-0125,Workplace_Theft,extraversion,0.015616535325007355,0.30164262770553985,0.00478364258609576,225
openai-gpt-3.5-turbo-0125,Workplace_Theft,agreeableness,-0.030410074912641857,0.14017151356938615,0.00973240165512046,225
openai-gpt-3.5-turbo-0125,Workplace_Theft,neuroticism,-0.009447655169856514,0.4658421550026821,0.002387346698136006,225
openai-gpt-3.5-turbo-0125,moral_sum,openness,-0.05368153170848368,0.25318505791578566,0.005850853214958596,225
openai-gpt-3.5-turbo-0125,moral_sum,conscientiousness,0.008324800555214652,0.874301314124117,0.00011247155724636304,225
openai-gpt-3.5-turbo-0125,moral_sum,extraversion,0.08333152753600127,0.10119928687238687,0.01200168187268158,225
openai-gpt-3.5-turbo-0125,moral_sum,agreeableness,-0.07990881240725697,0.250343829541042,0.005921182867560604,225
openai-gpt-3.5-turbo-0125,moral_sum,neuroticism,-0.08745768817175831,0.044239931170976264,0.01802592209375664,225
Human,ethic_sum,openness,-0.04023560801142208,0.4485544482891487,0.002097617366785709,276
Human,ethic_sum,conscientiousness,0.2293616922577356,0.00010166366473942014,0.05373251216539576,276
Human,ethic_sum,extraversion,0.021223255676367944,0.710116210464975,0.0005050302464889578,276
Human,ethic_sum,agreeableness,0.09256955150801446,0.24579055779380515,0.004913189489768266,276
Human,ethic_sum,neuroticism,-0.14055070015476778,0.0036887743257862176,0.030355848583484057,276
