participant_id,model,temperature,Bashful,Bold,Careless,Cold,Complex,Cooperative,Creative,Deep,Disorganized,Efficient,Energetic,Envious,Extraverted,Fretful,Harsh,Imaginative,Inefficient,Intellectual,Jealous,Kind,Moody,Organized,Philosophical,Practical,Quiet,Relaxed,Rude,Shy,Sloppy,Sympathetic,Systematic,Talkative,Temperamental,Touchy,Uncreative,Unenvious,Unintellectual,Unsympathetic,Warm,Withdrawn
12,deepseek,1.0,9.0,2.0,6.0,8.0,9.0,7.0,3.0,9.0,1.0,7.0,2.0,5.0,1.0,7.0,1.0,3.0,2.0,8.0,5.0,7.0,2.0,9.0,8.0,6.0,9.0,2.0,1.0,9.0,1.0,2.0,9.0,1.0,1.0,3.0,8.0,6.0,2.0,7.0,2.0,9.0
13,deepseek,1.0,3.0,6.0,7.0,2.0,8.0,7.0,7.0,8.0,3.0,9.0,3.0,2.0,6.0,4.0,2.0,6.0,2.0,7.0,2.0,7.0,3.0,7.0,7.0,6.0,7.0,7.0,2.0,7.0,3.0,3.0,7.0,7.0,8.0,3.0,2.0,8.0,2.0,4.0,7.0,5.0
14,deepseek,1.0,5.0,3.0,8.0,2.0,9.0,8.0,7.0,9.0,3.0,6.0,6.0,2.0,8.0,8.0,2.0,6.0,4.0,9.0,2.0,8.0,7.0,7.0,9.0,6.0,4.0,3.0,2.0,5.0,2.0,9.0,7.0,6.0,8.0,6.0,3.0,8.0,2.0,2.0,7.0,4.0
15,deepseek,1.0,4.0,8.0,2.0,7.0,9.0,6.0,7.0,9.0,3.0,7.0,6.0,3.0,8.0,5.0,5.0,5.0,3.0,8.0,3.0,6.0,2.0,7.0,8.0,6.0,2.0,7.0,7.0,4.0,2.0,4.0,7.0,8.0,2.0,4.0,3.0,6.0,3.0,7.0,5.0,3.0
16,deepseek,1.0,2.0,8.0,7.0,6.0,7.0,8.0,3.0,7.0,2.0,7.0,9.0,1.0,9.0,8.0,1.0,3.0,2.0,3.0,1.0,8.0,7.0,7.0,2.0,6.0,2.0,6.0,1.0,7.0,6.0,9.0,7.0,8.0,7.0,5.0,7.0,9.0,6.0,2.0,8.0,2.0
17,deepseek,1.0,3.0,8.0,2.0,3.0,7.0,6.0,7.0,7.0,5.0,6.0,6.0,2.0,8.0,6.0,5.0,5.0,4.0,9.0,2.0,7.0,3.0,6.0,9.0,6.0,3.0,4.0,7.0,4.0,5.0,7.0,4.0,8.0,3.0,5.0,3.0,8.0,1.0,3.0,7.0,3.0
18,deepseek,1.0,7.0,4.0,7.0,6.0,8.0,7.0,7.0,8.0,5.0,7.0,3.0,4.0,3.0,6.0,3.0,6.0,4.0,8.0,4.0,7.0,3.0,5.0,8.0,6.0,7.0,7.0,2.0,7.0,6.0,7.0,6.0,6.0,2.0,3.0,3.0,6.0,2.0,3.0,6.0,7.0
19,deepseek,1.0,4.0,8.0,6.0,3.0,9.0,6.0,5.0,9.0,7.0,5.0,6.0,3.0,8.0,8.0,4.0,5.0,7.0,8.0,3.0,7.0,7.0,4.0,8.0,5.0,3.0,3.0,6.0,4.0,5.0,7.0,4.0,8.0,8.0,7.0,6.0,6.0,2.0,3.0,7.0,4.0
20,deepseek,1.0,6.0,8.0,7.0,4.0,9.0,6.0,7.0,8.0,4.0,6.0,6.0,5.0,8.0,7.0,6.0,6.0,5.0,8.0,5.0,7.0,7.0,7.0,8.0,6.0,5.0,6.0,7.0,6.0,3.0,7.0,7.0,8.0,9.0,6.0,3.0,6.0,3.0,4.0,6.0,5.0
21,deepseek,1.0,6.0,7.0,2.0,2.0,7.0,7.0,7.0,7.0,2.0,7.0,6.0,2.0,6.0,7.0,2.0,9.0,2.0,6.0,2.0,7.0,2.0,7.0,6.0,6.0,7.0,8.0,2.0,6.0,2.0,6.0,7.0,6.0,2.0,2.0,2.0,9.0,2.0,2.0,7.0,6.0
22,deepseek,1.0,2.0,8.0,7.0,2.0,8.0,7.0,7.0,8.0,5.0,7.0,8.0,2.0,8.0,7.0,2.0,6.0,3.0,8.0,2.0,7.0,6.0,6.0,8.0,6.0,2.0,6.0,2.0,7.0,3.0,7.0,6.0,8.0,6.0,5.0,2.0,8.0,2.0,2.0,7.0,3.0
23,deepseek,1.0,5.0,8.0,7.0,9.0,9.0,6.0,7.0,9.0,2.0,9.0,9.0,5.0,9.0,6.0,8.0,5.0,2.0,8.0,5.0,6.0,7.0,9.0,9.0,6.0,2.0,9.0,9.0,5.0,2.0,6.0,8.0,9.0,9.0,6.0,4.0,6.0,3.0,4.0,5.0,3.0
24,deepseek,1.0,8.0,3.0,7.0,2.0,9.0,6.0,7.0,9.0,5.0,7.0,5.0,3.0,2.0,6.0,3.0,6.0,4.0,6.0,3.0,8.0,3.0,6.0,5.0,6.0,8.0,8.0,2.0,8.0,5.0,7.0,7.0,4.0,3.0,4.0,3.0,7.0,3.0,3.0,7.0,8.0
25,deepseek,1.0,2.0,7.0,7.0,4.0,6.0,6.0,3.0,6.0,7.0,8.0,6.0,5.0,8.0,7.0,5.0,3.0,2.0,8.0,5.0,7.0,3.0,8.0,9.0,6.0,6.0,3.0,7.0,2.0,2.0,4.0,7.0,8.0,8.0,5.0,7.0,6.0,2.0,6.0,7.0,2.0
26,deepseek,1.0,6.0,3.0,8.0,2.0,4.0,6.0,7.0,3.0,9.0,4.0,6.0,5.0,6.0,8.0,3.0,5.0,7.0,3.0,5.0,7.0,3.0,2.0,3.0,6.0,8.0,3.0,6.0,8.0,9.0,7.0,3.0,3.0,8.0,7.0,3.0,6.0,5.0,3.0,7.0,6.0
27,deepseek,1.0,3.0,8.0,7.0,3.0,6.0,8.0,3.0,6.0,3.0,9.0,7.0,4.0,9.0,8.0,3.0,3.0,3.0,7.0,4.0,8.0,7.0,8.0,7.0,6.0,2.0,3.0,7.0,6.0,3.0,7.0,8.0,9.0,9.0,7.0,7.0,6.0,3.0,3.0,7.0,3.0
28,deepseek,1.0,8.0,7.0,7.0,6.0,7.0,5.0,6.0,7.0,3.0,7.0,8.0,3.0,2.0,5.0,6.0,4.0,3.0,7.0,3.0,6.0,3.0,7.0,7.0,5.0,8.0,6.0,7.0,9.0,4.0,4.0,7.0,3.0,7.0,5.0,6.0,7.0,3.0,6.0,4.0,8.0
29,deepseek,1.0,6.0,4.0,7.0,1.0,6.0,8.0,6.0,6.0,4.0,6.0,6.0,2.0,6.0,4.0,1.0,5.0,4.0,8.0,2.0,9.0,2.0,6.0,8.0,5.0,7.0,8.0,1.0,6.0,6.0,9.0,6.0,4.0,2.0,3.0,5.0,8.0,2.0,1.0,9.0,5.0
0,deepseek,0.0,3.0,7.0,6.0,2.0,3.0,8.0,4.0,3.0,5.0,7.0,9.0,2.0,9.0,6.0,2.0,4.0,3.0,6.0,2.0,9.0,6.0,6.0,6.0,7.0,2.0,6.0,4.0,3.0,3.0,9.0,4.0,9.0,2.0,3.0,6.0,8.0,3.0,2.0,9.0,2.0
1,deepseek,0.0,5.0,6.0,7.0,6.0,8.0,7.0,7.0,8.0,7.0,7.0,6.0,5.0,8.0,6.0,5.0,6.0,5.0,5.0,5.0,7.0,7.0,6.0,5.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,8.0,7.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0
2,deepseek,0.0,8.0,4.0,6.0,2.0,8.0,7.0,7.0,8.0,3.0,7.0,3.0,4.0,2.0,6.0,3.0,8.0,3.0,8.0,4.0,8.0,8.0,7.0,8.0,5.0,8.0,7.0,6.0,9.0,2.0,8.0,8.0,2.0,2.0,4.0,2.0,6.0,2.0,2.0,7.0,8.0
3,deepseek,0.0,2.0,6.0,7.0,2.0,8.0,6.0,7.0,8.0,7.0,4.0,3.0,5.0,8.0,7.0,3.0,5.0,7.0,8.0,5.0,7.0,2.0,3.0,8.0,5.0,4.0,3.0,2.0,2.0,6.0,7.0,3.0,8.0,2.0,3.0,2.0,6.0,2.0,2.0,7.0,2.0
4,deepseek,0.0,6.0,7.0,2.0,3.0,7.0,7.0,7.0,6.0,2.0,9.0,7.0,4.0,6.0,7.0,4.0,5.0,2.0,4.0,4.0,7.0,7.0,9.0,4.0,7.0,7.0,6.0,4.0,6.0,2.0,7.0,9.0,4.0,6.0,5.0,3.0,6.0,4.0,3.0,6.0,5.0
5,deepseek,0.0,5.0,4.0,6.0,2.0,7.0,8.0,6.0,7.0,2.0,6.0,6.0,3.0,8.0,5.0,2.0,5.0,3.0,7.0,3.0,8.0,6.0,9.0,7.0,6.0,7.0,7.0,2.0,6.0,2.0,7.0,7.0,5.0,3.0,4.0,4.0,7.0,3.0,2.0,8.0,4.0
6,deepseek,0.0,1.0,8.0,6.0,2.0,9.0,8.0,9.0,9.0,2.0,9.0,9.0,2.0,9.0,6.0,2.0,6.0,2.0,9.0,2.0,9.0,3.0,9.0,9.0,7.0,2.0,7.0,6.0,1.0,2.0,2.0,9.0,9.0,6.0,3.0,2.0,9.0,2.0,8.0,7.0,1.0
7,deepseek,0.0,2.0,8.0,7.0,6.0,9.0,7.0,9.0,9.0,3.0,7.0,8.0,3.0,9.0,6.0,3.0,5.0,2.0,8.0,2.0,7.0,2.0,7.0,8.0,6.0,2.0,6.0,2.0,2.0,2.0,7.0,7.0,9.0,2.0,3.0,2.0,8.0,2.0,3.0,6.0,2.0
8,deepseek,0.0,3.0,7.0,6.0,6.0,3.0,7.0,3.0,3.0,1.0,8.0,8.0,5.0,8.0,8.0,3.0,3.0,2.0,3.0,5.0,7.0,3.0,9.0,3.0,6.0,2.0,2.0,2.0,4.0,1.0,7.0,9.0,8.0,3.0,3.0,7.0,5.0,6.0,3.0,6.0,3.0
9,deepseek,0.0,8.0,5.0,7.0,6.0,8.0,8.0,6.0,8.0,6.0,6.0,8.0,3.0,8.0,7.0,4.0,4.0,3.0,8.0,3.0,8.0,6.0,6.0,8.0,5.0,8.0,7.0,6.0,8.0,6.0,8.0,6.0,8.0,7.0,5.0,8.0,7.0,2.0,2.0,6.0,5.0
10,deepseek,0.0,8.0,2.0,1.0,1.0,9.0,8.0,7.0,9.0,7.0,6.0,8.0,1.0,1.0,8.0,1.0,9.0,3.0,9.0,1.0,9.0,7.0,2.0,9.0,5.0,8.0,2.0,6.0,9.0,7.0,9.0,2.0,2.0,8.0,7.0,1.0,9.0,1.0,1.0,7.0,8.0
11,deepseek,0.0,1.0,9.0,1.0,6.0,7.0,6.0,6.0,7.0,1.0,9.0,9.0,2.0,9.0,2.0,6.0,6.0,1.0,8.0,2.0,6.0,1.0,9.0,8.0,7.0,1.0,9.0,6.0,1.0,1.0,3.0,9.0,9.0,1.0,2.0,3.0,8.0,2.0,6.0,6.0,1.0
12,deepseek,0.0,9.0,2.0,6.0,9.0,9.0,7.0,2.0,9.0,1.0,7.0,2.0,1.0,1.0,8.0,1.0,3.0,2.0,8.0,1.0,7.0,2.0,9.0,8.0,6.0,9.0,2.0,1.0,9.0,1.0,3.0,9.0,1.0,1.0,2.0,8.0,9.0,1.0,7.0,2.0,9.0
13,deepseek,0.0,5.0,6.0,7.0,3.0,8.0,7.0,7.0,8.0,3.0,9.0,4.0,2.0,6.0,4.0,2.0,5.0,2.0,8.0,2.0,7.0,3.0,7.0,8.0,6.0,7.0,7.0,2.0,7.0,3.0,3.0,7.0,7.0,7.0,4.0,3.0,8.0,2.0,6.0,7.0,5.0
14,deepseek,0.0,4.0,3.0,8.0,2.0,9.0,7.0,6.0,9.0,2.0,6.0,6.0,2.0,8.0,7.0,2.0,5.0,3.0,8.0,2.0,8.0,7.0,7.0,8.0,5.0,3.0,3.0,2.0,4.0,2.0,9.0,7.0,6.0,7.0,5.0,3.0,8.0,2.0,2.0,7.0,3.0
15,deepseek,0.0,4.0,8.0,2.0,7.0,9.0,6.0,7.0,9.0,3.0,7.0,7.0,3.0,8.0,5.0,6.0,5.0,3.0,8.0,3.0,6.0,2.0,7.0,8.0,6.0,2.0,7.0,7.0,4.0,2.0,3.0,7.0,8.0,2.0,3.0,2.0,6.0,2.0,7.0,4.0,3.0
16,deepseek,0.0,2.0,7.0,7.0,6.0,6.0,7.0,3.0,6.0,3.0,7.0,9.0,2.0,9.0,8.0,2.0,4.0,3.0,3.0,2.0,7.0,7.0,6.0,3.0,6.0,2.0,6.0,2.0,2.0,6.0,3.0,6.0,8.0,6.0,5.0,7.0,8.0,6.0,6.0,6.0,2.0
17,deepseek,0.0,3.0,7.0,2.0,3.0,7.0,6.0,7.0,7.0,4.0,6.0,6.0,3.0,8.0,6.0,5.0,5.0,3.0,8.0,3.0,7.0,3.0,6.0,8.0,6.0,3.0,4.0,6.0,4.0,4.0,7.0,4.0,7.0,3.0,5.0,3.0,6.0,2.0,3.0,7.0,3.0
18,deepseek,0.0,7.0,4.0,7.0,6.0,8.0,6.0,7.0,8.0,5.0,7.0,3.0,4.0,3.0,5.0,3.0,6.0,4.0,8.0,4.0,6.0,3.0,5.0,8.0,5.0,7.0,7.0,2.0,7.0,5.0,7.0,6.0,6.0,2.0,3.0,3.0,6.0,2.0,3.0,5.0,7.0
19,deepseek,0.0,3.0,8.0,6.0,2.0,9.0,6.0,5.0,9.0,7.0,4.0,6.0,2.0,8.0,9.0,3.0,5.0,7.0,9.0,2.0,7.0,7.0,4.0,9.0,5.0,2.0,2.0,6.0,3.0,4.0,7.0,3.0,8.0,8.0,6.0,6.0,8.0,2.0,3.0,7.0,3.0
20,deepseek,0.0,3.0,8.0,7.0,2.0,9.0,6.0,7.0,8.0,2.0,6.0,6.0,4.0,8.0,7.0,5.0,6.0,4.0,8.0,3.0,7.0,7.0,8.0,8.0,6.0,5.0,6.0,7.0,3.0,2.0,7.0,8.0,8.0,8.0,5.0,2.0,6.0,2.0,3.0,6.0,3.0
21,deepseek,0.0,5.0,7.0,2.0,3.0,7.0,7.0,7.0,7.0,3.0,7.0,6.0,2.0,6.0,7.0,2.0,9.0,3.0,6.0,2.0,7.0,2.0,7.0,5.0,6.0,7.0,7.0,2.0,5.0,2.0,3.0,7.0,4.0,2.0,3.0,2.0,7.0,3.0,6.0,7.0,4.0
22,deepseek,0.0,2.0,8.0,7.0,2.0,9.0,7.0,8.0,9.0,5.0,7.0,9.0,2.0,9.0,6.0,2.0,6.0,3.0,9.0,2.0,8.0,6.0,6.0,9.0,5.0,2.0,6.0,2.0,2.0,3.0,8.0,7.0,9.0,6.0,4.0,2.0,8.0,2.0,2.0,8.0,2.0
23,deepseek,0.0,3.0,8.0,7.0,8.0,9.0,5.0,6.0,9.0,2.0,9.0,9.0,2.0,9.0,6.0,7.0,4.0,2.0,9.0,2.0,5.0,7.0,9.0,9.0,6.0,2.0,9.0,8.0,3.0,2.0,6.0,7.0,9.0,8.0,5.0,3.0,8.0,2.0,7.0,3.0,2.0
24,deepseek,0.0,8.0,3.0,7.0,2.0,8.0,6.0,7.0,8.0,5.0,7.0,5.0,3.0,2.0,6.0,3.0,6.0,3.0,6.0,3.0,8.0,3.0,6.0,5.0,6.0,8.0,8.0,2.0,8.0,3.0,7.0,6.0,3.0,3.0,3.0,3.0,7.0,3.0,3.0,6.0,7.0
25,deepseek,0.0,2.0,7.0,7.0,3.0,6.0,6.0,3.0,6.0,7.0,9.0,6.0,4.0,8.0,7.0,5.0,3.0,2.0,8.0,4.0,7.0,3.0,8.0,8.0,6.0,6.0,3.0,7.0,2.0,2.0,3.0,7.0,8.0,7.0,6.0,7.0,5.0,2.0,6.0,7.0,2.0
26,deepseek,0.0,6.0,3.0,8.0,2.0,4.0,6.0,7.0,3.0,9.0,4.0,6.0,5.0,6.0,8.0,3.0,5.0,7.0,4.0,5.0,7.0,3.0,2.0,3.0,5.0,8.0,3.0,6.0,7.0,8.0,7.0,3.0,4.0,8.0,7.0,3.0,5.0,5.0,3.0,7.0,6.0
27,deepseek,0.0,6.0,8.0,7.0,2.0,7.0,8.0,3.0,7.0,3.0,9.0,7.0,5.0,9.0,8.0,6.0,4.0,2.0,8.0,5.0,8.0,7.0,7.0,8.0,6.0,2.0,3.0,7.0,6.0,3.0,7.0,7.0,9.0,8.0,7.0,7.0,5.0,2.0,3.0,7.0,3.0
28,deepseek,0.0,8.0,7.0,6.0,6.0,7.0,5.0,6.0,7.0,3.0,7.0,7.0,3.0,2.0,5.0,4.0,5.0,3.0,7.0,3.0,6.0,3.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,4.0,4.0,7.0,3.0,6.0,4.0,5.0,6.0,3.0,6.0,4.0,7.0
29,deepseek,0.0,6.0,4.0,7.0,2.0,6.0,8.0,6.0,6.0,4.0,6.0,6.0,2.0,6.0,4.0,2.0,5.0,4.0,8.0,2.0,9.0,2.0,6.0,8.0,5.0,7.0,8.0,2.0,6.0,5.0,9.0,6.0,4.0,2.0,3.0,4.0,8.0,2.0,2.0,9.0,5.0
