self_BFI_1,self_BFI_2,self_BFI_3,self_BFI_4,self_BFI_5,self_BFI_6,self_BFI_7,self_BFI_8,self_BFI_9,self_BFI_10,self_BFI_11,self_BFI_12,self_BFI_13,self_BFI_14,self_BFI_15,self_BFI_16,self_BFI_17,self_BFI_18,self_BFI_19,self_BFI_20,self_BFI_21,self_BFI_22,self_BFI_23,self_BFI_24,self_BFI_25,self_BFI_26,self_BFI_27,self_BFI_28,self_BFI_29,self_BFI_30,self_BFI_31,self_BFI_32,self_BFI_33,self_BFI_34,self_BFI_35,self_BFI_36,self_BFI_37,self_BFI_38,self_BFI_39,self_BFI_40,self_BFI_41,self_BFI_42,self_BFI_43,self_BFI_44,self_BFI_45,self_BFI_46,self_BFI_47,self_BFI_48,self_BFI_49,self_BFI_50,self_BFI_51,self_BFI_52,self_BFI_53,self_BFI_54,self_BFI_55,self_BFI_56,self_BFI_57,self_BFI_58,self_BFI_59,self_BFI_60,self_condition,self_Part_ID,self_BRF_1_1,self_BRF_2_1,self_BRF_3,self_BRF_4,self_BRF_4_1,self_BRF_4_2,self_BRF_5,self_BRF_6,self_IR_1,self_IR_2,self_IR_3,self_IR_4,self_IR_5,self_IR_6,self_IR_7,self_IR_8,self_IR_9,self_IR_10,self_IR_11,self_IR_12,self_MIRW_1,self_MIRW_2,self_V_Q1,self_DB_1,self_DB_2,self_DB_3,self_DB_4,self_DB_5,self_DB_6,self_GLTEQ_1,self_GLTEQ_2,self_GLTEQ_3,self_RB_1,self_RB_2,self_RB_3,self_RB_4,self_RB_5,self_RB_2_1,self_RB_2_2,self_RB_3.1,self_RB_4.1,self_PATH_1.1_1,self_PATH_1.1_2,self_PATH_1.1_3,self_PATH_1.1_4,self_PATH_1.1_5,self_PATH_1.1_6,self_PATH_1.1_7,self_PATH_1.1_8,self_PATH_1.1_9,self_PATH_1.1_10,self_CA_1.7.1_1,self_CA_1.7.1_2,self_CA_1.7.1_3,self_CA_1.7.1_4,self_CA_1.7.1_5,self_CA_1.7.1_6,self_CA_1.7.1_7,self_CA_8,self_D_1,self_D_2,self_D_3,self_D_3_7_TEXT,self_D_4,self_D_5,self_D_6,self_D_7_1,self_peer.rating,self_ext_total,self_agr_total,self_con_total,self_neu_total,self_ope_total
4,4,5,4,4,2,5,2,3,4,4,4,4,1,3,3,4,4,3,2,4,3,4,3,5,2,3,2,4,3,4,3,3,4,2,3,4,3,2,5,4,3,5,4,4,4,5,3,1,2,3,4,5,1,5,5,5,5,3,2,I,5042,8,6,1,2,89.70%,,1,2,1,5,3,1,4,1,5,1,6,1,3,1,168,61,150,3,2,2,1,1,1,0,02-Jan,0,2,0,0,0,0,0,0,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,21,2,NA,China,English,15,5,1,42,47,45,33,41
3,4,3,2,3,3,4,2,4,2,2,3,2,5,3,4,5,3,3,3,3,3,4,3,2,4,4,3,4,3,4,3,3,4,3,2,4,3,4,4,2,2,3,4,3,3,4,2,4,2,4,3,4,3,3,2,3,3,5,3,I,5077,3,1,2,2,3,,1,1,1,1,6,5,3,3,3,3,4,4,4,3,164,48,0,1,3,2,1,1,1,1,7,7,7,2,0,0,28,4,1,4,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,1,1,2,1,2,20,2,NA,Canada,English,15,5,1,36,42,35,45,34
2,4,2,3,4,3,5,2,4,3,4,4,4,2,3,2,4,3,2,4,2,5,3,3,3,2,4,4,2,2,2,4,3,2,4,1,5,3,3,3,3,3,3,1,4,2,3,3,2,4,3,4,4,2,3,3,3,4,2,3,I,5076,5,4,0,2,70%,,0,1,1,1,7,7,6,5,5,5,6,6,1,3,165,55,5,1,1,1,1,1,1,0,15,15,0,0,0,0,0,0,0,NA,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,24,2,NA,China,Chinese,16,4,1,29,48,38,28,40
3,2,3,2,4,4,4,3,2,3,3,4,2,4,4,3,2,4,2,4,4,2,1,5,5,4,5,4,4,3,3,4,4,4,5,4,3,2,3,5,4,4,5,4,4,2,4,4,2,4,5,3,3,2,4,4,3,4,2,4,I,5038,5,6,1,2,65%,,05-Apr,1,1,1,3,3,3,3,4,4,6,6,3,3,162.56,57,0,1,1,1,1,1,1,0,5,6,2,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,19,7,South Asian,India,English,14,5,1,43,40,39,36,49
2,5,3,3,2,3,4,3,3,4,4,2,3,3,4,2,4,4,2,4,3,4,4,2,3,4,5,4,4,2,2,1,5,4,4,3,5,5,2,5,3,4,5,3,4,2,5,5,3,2,2,5,5,3,4,4,5,5,3,4,I,5113,5,5,1,2,3,,1,1,1,1,7,7,5,3,2,5,3,5,6,1,170.18,58.967,2,2,1,1,1,1,1,2,1,7,4,4,1,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,20,1,NA,Canada,English,14,5,1,34,49,51,35,42
3,2,3,2,4,4,4,4,3,3,3,2,4,4,4,3,2,3,4,4,4,4,2,2,4,3,2,3,3,4,3,3,2,4,4,4,3,3,3,4,2,4,4,4,3,3,4,2,3,4,4,4,2,3,4,3,3,2,4,4,I,5075,6,4,0,2,78,,5,1,1,1,3,3,5,5,3,3,4,4,4,4,167,53,4,3,4,2,3,2,1,1,1,0,0,0,0,0,0,3,1,5,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,3,2,20,1,NA,South Korea,German ,18,5,1,39,37,34,39,46
2,4,2,3,3,2,5,2,2,2,3,3,4,3,3,3,4,2,3,4,2,4,2,3,3,3,3,5,3,4,2,3,3,2,4,3,4,2,2,3,3,2,4,2,2,2,4,4,2,4,1,4,3,2,3,3,3,4,2,3,E,5011,6,4,0,2,80,,0,2,1,1,7,7,5,5,5,5,6,6,4,1,165,50,0,3,1,1,1,1,1,0,5,7,0,0,0,0,0,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,1,20,2,NA,China,Cantonese,14,4,1,29,43,37,29,38
2,4,4,3,2,4,4,1,5,4,3,2,3,4,4,3,4,3,4,3,3,3,2,4,4,2,2,2,4,2,2,3,3,4,2,2,3,3,3,4,2,2,4,2,4,2,4,3,4,2,3,4,3,3,2,3,2,4,2,3,IS,5013,6,6,0,2,87,,1,2,1,1,4,4,4,4,5,4,6,6,3,3,183,78.5,144,2,1,3,1,1,1,0,0,7,3,1,0,0,0,0,0,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,23,2,NA,Hong Kong,Cantonese,16,5,1,31,37,35,42,36
5,2,4,2,2,4,4,2,2,3,3,4,4,4,3,4,4,4,2,2,4,4,4,2,4,2,4,2,2,2,5,2,4,2,4,4,3,4,2,2,3,2,4,1,4,5,4,4,2,4,4,4,4,2,3,4,4,2,2,3,O,5101,3,6,2,2,70,,2,2,1,1,7,7,3,3,5,4,5,5,1,3,165,68,0,2,1,1,1,2,1,1,0,10,7,0,0,0,0,0,0,NA,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,21,2,NA,Canada ,English ,17,5,1,47,41,42,25,36
3,4,4,2,2,4,5,4,1,5,4,4,5,2,4,3,5,4,2,5,2,5,4,1,4,4,5,4,2,4,2,4,2,2,5,4,5,4,2,4,4,4,4,1,2,3,5,2,3,2,1,5,4,2,2,4,5,4,2,4,I,5015,6,4,0,2,87.80%,,0,1,1,1,3,3,5,4,5,4,5,5,3,3,160,56,40,2,1,1,1,1,1,2,3,7,1,0,0,0,0,0,0,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,20,2,NA,China,Chinese,15,4,1,38,56,45,22,43
3,4,5,3,3,3,4,5,3,5,4,3,5,3,4,3,4,5,3,4,3,4,4,2,5,5,3,4,2,3,3,4,4,3,4,3,4,5,3,4,3,3,4,3,4,3,4,4,3,4,4,4,5,3,5,4,4,4,3,4,E,5029,7,6,1,2,4.3,,5,2,1,1,5,5,5,5,4,5,4,6,4,3,161,54,30,1,1,1,1,2,2,3,7,1,5,3,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,1,1,2,2,19,1,NA,US,english,14,5,1,41,45,54,34,49
2,4,4,5,1,1,5,2,4,2,2,2,4,2,2,1,2,5,4,5,1,5,4,4,5,2,2,2,4,2,1,4,4,5,4,1,4,4,5,5,1,1,4,2,4,2,2,4,5,4,2,5,5,4,3,2,2,2,4,4,O,5083,6,4,0,2,85.50%,,0,1,1,1,5,2,5,5,3,3,5,4,4,3,153,39,5,2,2,1,1,1,1,0,5,0,0,0,0,0,0,0,0,NA,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,2,18,7,South Asian,India,Marathi,12,5,1,18,38,44,48,41
4,3,4,2,3,4,5,2,1,4,4,4,4,1,4,2,4,4,2,3,3,4,4,1,4,3,4,4,2,2,4,4,4,2,3,4,5,5,2,4,4,4,4,1,2,3,5,4,1,3,3,5,4,2,4,4,3,2,2,4,I,5104,7,6,0,2,82.5,,1,1,1,1,6,1,4,3,5,5,6,6,4,3,160,44,20,1,1,1,1,2,1,0,2,5,0,0,0,0,0,0,0,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,24,2,NA,china,Chinese ,15,5,1,42,50,45,19,40
2,3,3,2,3,2,5,3,2,2,3,4,3,3,3,5,4,3,3,3,2,2,3,4,3,2,4,3,1,3,2,4,3,3,2,3,4,4,4,4,3,4,3,3,3,2,4,3,3,2,3,4,5,4,4,3,5,4,3,3,IS,5085,4,6,2,1,,90,0,1,1,1,7,7,6,6,4,4,6,6,5,5,169,63.5,150,1,1,2,1,1,1,5,15,20,0,0,0,0,0,1,1,1,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,1,2,2,2,1,23,2,NA,Canada,English,18,4,1,32,47,40,35,35
2,5,4,4,4,2,5,3,3,4,3,4,4,4,4,3,5,3,4,4,3,4,4,4,4,3,5,3,4,5,3,4,3,4,4,4,4,4,3,5,3,4,4,3,4,2,4,5,4,4,3,4,4,3,4,3,4,4,3,4,E,5093,8,7,1,2,83,,0,1,1,1,3,3,4,2,4,3,5,4,2,2,185,73,17,1,1,1,1,1,1,1,3,1,0,0,0,0,0,0,0,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,1,21,2,NA,Canada,English,15,5,1,34,52,45,43,50
3,4,3,3,3,3,5,3,3,3,3,4,5,2,3,3,3,4,3,4,3,5,3,3,3,2,1,4,2,3,3,3,4,5,4,2,5,2,3,2,4,3,5,2,4,4,5,4,4,4,2,5,3,2,3,3,3,3,1,2,E,5046,4,4,0,1,,88%,0,2,1,1,7,7,7,4,5,5,6,6,3,4,160cm,60,40,1,1,1,1,1,1,60 minutes,120 minutes,60,no,no,no,no,no,0,0,NA,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,18,7,Canadian,Canada,English,13,5,1,35,46,43,33,38
2,5,2,2,1,4,5,1,3,5,4,2,3,4,4,2,2,2,4,3,1,4,2,4,1,1,4,3,2,3,2,4,3,5,3,4,3,4,2,1,2,3,3,2,2,1,4,2,3,4,3,2,1,4,1,4,4,3,4,1,O,5110,6,5,7,2,62,,1,2,1,1,3,3,5,5,5,5,6,6,3,3,165,60,1,1,1,1,1,1,1,1,3,1,no,no,no,no,no,0,0,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,19,2,NA,China,Chinese ,14,3,1,30,42,29,39,29
4,4,4,2,3,3,5,2,2,3,4,4,4,2,3,4,4,4,2,3,3,4,4,2,2,3,4,3,2,3,4,4,4,2,3,3,4,4,2,2,4,4,5,2,4,4,5,4,2,2,3,5,4,2,3,4,4,4,2,3,IS,5126,7,5,0,2,72%,,0,2,1,1,5,5,5,5,5,5,6,6,4,4,162,60,50,2,1,2,1,1,1,0,5,15,0,0,0,0,0,0,0,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,21,7,NA,India,English and Telugu,16,5,1,43,51,46,24,34
3,4,4,5,2,3,4,2,5,3,3,4,2,5,3,2,5,4,5,5,4,2,3,5,2,3,3,2,5,2,2,4,4,5,4,4,3,3,5,4,3,1,4,5,4,3,4,2,5,4,5,3,4,5,4,4,4,2,5,2,I,5030,3,2,3,2,65,,5,1,1,1,3,3,5,3,4,1,6,1,4,3,160,54,60,3,2,2,1,2,1,20,40,56,7,7,0,0,6,8,8,4,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,1,1,2,1,2,20,1,NA,NA,NA,12,5,1,39,41,36,60,39
3,5,5,2,2,4,5,2,1,3,3,2,5,3,4,3,5,5,2,3,5,5,2,2,2,1,3,5,3,2,3,5,5,2,3,2,4,3,2,4,1,3,5,1,5,4,5,5,3,1,5,5,5,2,1,3,5,5,3,3,I,5125,5,6,0,2,76.8,,0.16,2,1,1,3,3,6,5,4,4,6,6,3,3,165,70,100,3,1,2,2,1,1,0,0,7,5,0,0,0,0,1,1,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,21,7,South Asian,India,English,16,5,1,37,52,52,26,33
3,2,2,4,3,3,3,2,4,3,NA,1,3,4,4,4,2,2,2,3,3,3,1,2,3,2,3,3,4,4,5,3,4,4,2,2,3,2,1,1,2,3,4,2,2,2,3,2,3,5,2,2,5,4,3,2,2,3,3,3,IS,5084,6,5,5,2,92,,8,2,1,1,5,3,5,3,5,5,6,6,5,5,157cm,57,40,2,1,1,NA,1,1,3,2,0,12,3,1,0,0,5,3,3,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,1,1,2,2,1,21,2,NA,Canada,English,17,5,1,30,30,33,37,36
4,5,4,3,3,2,4,4,2,4,3,4,5,2,3,3,4,4,3,4,2,5,4,2,4,4,4,4,2,4,3,4,4,4,5,4,4,4,2,4,4,4,4,2,4,3,5,4,3,4,3,4,4,2,4,4,5,4,2,3,E,5035,7,4,3,2,80,,5,2,1,1,3,3,5,5,5,5,6,6,3,1,153,45,12,1,1,2,1,1,1,2,7,1,5,2,0,0,0,2,1,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,20,7,European and South/East Asian,USA,English,14,5,1,39,52,49,29,46
2,5,2,5,1,2,5,1,5,4,4,5,4,2,4,2,1,5,4,5,2,5,1,4,2,2,4,2,5,5,1,5,4,5,5,3,3,2,4,4,4,2,4,4,5,2,5,4,5,5,2,5,5,4,5,4,4,3,4,5,O,5107,5,4,I've been dating someone for 5 years... so 1? ,2,66.1,,0,2,1,2,1,NA,5,NA,4,NA,6,NA,4,NA,170,75,30,2,2,2,1,1,1,3 days,5 days,5 days,2 days,0,0,0,0,0,0,NA,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,2,1,2,22,5,NA,Ecuador,Spanish,16,5,1,30,49,37,51,50
5,5,2,1,4,4,3,2,2,5,4,1,4,4,4,2,4,2,2,5,4,1,1,2,5,1,5,1,4,4,2,4,1,1,5,4,3,2,2,5,5,2,4,4,5,4,4,3,4,4,5,4,5,1,5,3,2,1,4,4,O,5010,7,5,2,2,80,,4,1,1,1,5,3,5,1,5,2,5,3,3,3,168,56,2,2,1,1,1,1,1,0,0,7,2,0,0,0,0,3,1,4,2,2,2,2,2,2,2,2,2,2,2,2,NA,1,2,2,2,2,2,2,21,2,NA,China,Mandarin,15,5,1,43,38,28,31,55
3,4,2,4,4,2,5,3,3,4,3,3,4,3,3,2,5,3,4,5,4,4,3,3,4,3,3,4,4,3,2,4,3,4,4,3,5,3,3,3,3,3,4,4,4,3,5,2,3,4,3,5,5,3,2,4,4,3,3,3,E,5114,4,5,1,2,91,,0.25,2,1,1,3,3,4,4,5,5,5,5,3,2,178,61,104,1,1,1,1,1,1,1,1,4,5,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,22,1,NA,Canada,English,16,5,1,35,50,39,41,43
3,4,3,4,4,2,5,2,3,3,3,3,3,1,2,2,4,3,3,5,2,4,3,3,5,1,2,2,3,4,2,4,5,4,5,2,5,2,3,3,3,3,4,3,4,3,4,5,3,4,2,5,4,3,2,4,4,3,3,3,I,5096,5,4,0,2,3,,0,1,1,1,7,7,4,4,4,4,5,5,3,2,162,52,50,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,2,20,2,NA,Thailand,English,15,5,1,29,47,39,36,44
4,5,3,3,4,4,5,2,3,4,4,4,4,2,4,3,5,4,3,5,3,2,2,3,4,4,5,3,3,3,4,4,3,2,5,4,4,2,3,4,3,3,4,2,5,3,5,3,2,5,3,4,3,3,5,4,4,4,4,3,IS,5123,5,5,0,2,76.6,,1,1,1,1,7,5,6,5,5,4,6,5,4,3,170,60,104,1,1,2,1,1,1,0,5,0,1,0,0,0,0,1,0,3,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,1,2,1,2,19,2,NA,Canada,english,14,5,1,43,50,37,33,51
3,4,4,2,3,3,5,2,2,3,4,4,4,2,3,2,4,4,3,4,3,2,3,2,3,3,4,4,2,4,2,4,4,2,5,3,3,3,2,4,3,4,5,1,5,2,5,3,2,4,3,5,4,2,3,4,4,4,3,3,IS,5115,3,5,1,2,78%,,0,2,1,1,4,4,5,5,4,4,6,6,1,2,157,50,Not very often,2,1,1,1,1,1,once a week,once a week,once a week,7,1,0,0,0,1,1,4,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,3,2,19,1,NA,Canada,English,14,5,1,35,48,44,25,44
